team,player,created_at_utc,games,minutes_avg,minutes_l3,minutes_l5,points_avg,points_l3,points_l5,rebounds_avg,rebounds_l3,rebounds_l5,dreb_avg,dreb_l3,dreb_l5,assists_avg,assists_l3,assists_l5,threes_avg,threes_l3,threes_l5,turnovers_avg,turnovers_l3,turnovers_l5,fga_avg,fga_l3,fga_l5,fta_avg,fta_l3,fta_l5,scoring_dependency,dash_gp,dash_w,dash_l,dash_w_pct,dash_min,dash_pts,dash_reb,dash_ast,dash_plus_minus
CON,Jaelyn Brown,2026-07-09T13:59:53.660378+00:00,10,13.12,11.700000000000001,10.6,3.7,2.3333333333333335,2.0,1.2,1.3333333333333333,1.4,0.8,0.3333333333333333,0.6,0.1,0.3333333333333333,0.2,0.8,0.3333333333333333,0.4,0.5,0.3333333333333333,0.4,3.7,3.6666666666666665,3.6,0.2,0.0,0.0,0.05433840086927953,10.0,1.0,9.0,0.1,13.1,3.7,1.2,0.1,-5.4
CON,Kariata Diaby,2026-07-09T13:59:53.666484+00:00,13,7.976923076923077,3.4,4.540000000000001,1.9230769230769231,0.0,0.8,1.0,0.0,0.4,0.7692307692307693,0.0,0.4,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,1.0,0.6,1.0769230769230769,0.0,0.8,1.0769230769230769,0.0,0.4,0.027685912539276027,13.0,1.0,12.0,0.077,8.0,1.9,1.0,0.4,-2.4
CON,Kennedy Burke,2026-07-09T13:59:53.672046+00:00,21,24.085714285714285,25.333333333333332,25.639999999999997,8.285714285714286,9.0,9.2,3.238095238095238,2.0,2.6,2.238095238095238,1.3333333333333333,2.2,1.7142857142857142,2.0,2.2,1.0476190476190477,1.3333333333333333,1.6,1.6666666666666667,1.3333333333333333,1.2,7.190476190476191,7.333333333333333,7.6,2.380952380952381,1.3333333333333333,1.8,0.10183081457857922,21.0,5.0,16.0,0.238,24.1,8.3,3.2,1.7,-2.0
CON,Leila Lacan,2026-07-09T13:59:53.677614+00:00,38,27.313157894736843,31.566666666666663,28.68,11.157894736842104,15.333333333333334,14.0,2.1052631578947367,3.3333333333333335,2.2,1.4736842105263157,2.0,1.4,3.973684210526316,4.666666666666667,4.2,0.8157894736842105,2.0,1.2,1.763157894736842,1.0,1.2,9.710526315789474,12.0,10.4,2.1315789473684212,3.6666666666666665,3.6,0.13750056986286985,13.0,4.0,9.0,0.308,28.7,12.7,1.6,4.5,-2.5
CON,Lindsay Allen,2026-07-09T13:59:53.683274+00:00,31,14.535483870967742,27.366666666666664,26.939999999999998,2.3870967741935485,3.6666666666666665,4.8,1.032258064516129,3.0,3.0,0.7419354838709677,2.6666666666666665,1.8,1.967741935483871,2.3333333333333335,2.6,0.0967741935483871,0.0,0.0,1.0,0.6666666666666666,1.2,2.096774193548387,3.3333333333333335,3.4,0.7419354838709677,2.0,2.4,0.03245970475934842,31.0,6.0,25.0,0.194,14.5,2.4,1.0,2.0,-4.7
CON,Mamignan Toure,2026-07-09T13:59:53.689149+00:00,18,8.2,13.399999999999999,13.079999999999998,2.0,3.3333333333333335,2.0,0.3888888888888889,1.6666666666666667,1.0,0.16666666666666666,0.6666666666666666,0.4,0.5,1.0,0.8,0.4444444444444444,0.6666666666666666,0.4,0.4444444444444444,0.6666666666666666,0.6,2.1666666666666665,4.0,3.0,0.0,0.0,0.0,0.026242297036686006,18.0,5.0,13.0,0.278,8.2,2.0,0.4,0.5,-1.4
CON,Marina Mabrey,2026-07-09T13:59:53.694790+00:00,35,31.525714285714283,35.36666666666667,32.239999999999995,14.4,17.666666666666668,13.0,4.171428571428572,3.0,2.6,3.6857142857142855,3.0,2.6,4.0285714285714285,4.666666666666667,4.6,1.8857142857142857,1.3333333333333333,1.0,2.8,3.6666666666666665,2.8,13.942857142857143,12.0,11.6,2.6285714285714286,5.0,3.4,0.18523697373118217,35.0,10.0,25.0,0.286,31.5,14.4,4.2,4.0,-8.4
CON,Nell Angloma,2026-07-09T13:59:53.700782+00:00,18,10.655555555555559,6.7,6.180000000000001,4.0,3.3333333333333335,2.2,1.5,2.3333333333333335,1.6,0.8888888888888888,1.0,0.8,0.3888888888888889,0.0,0.2,0.05555555555555555,0.0,0.0,0.8333333333333334,1.0,1.0,2.9444444444444446,2.3333333333333335,1.4,2.111111111111111,1.3333333333333333,1.2,0.04988259014115416,18.0,5.0,13.0,0.278,10.6,4.0,1.5,0.4,-0.3
CON,Olivia Nelson-Ododa,2026-07-09T13:59:53.706798+00:00,55,21.085454545454542,26.600000000000005,27.259999999999998,8.436363636363636,11.666666666666666,11.6,5.127272727272727,7.0,9.0,3.4727272727272727,5.0,6.6,1.2181818181818183,2.0,2.4,0.01818181818181818,0.0,0.0,1.1454545454545455,2.6666666666666665,2.2,5.6909090909090905,7.0,8.2,3.1636363636363636,5.333333333333333,4.2,0.11177612457006196,18.0,4.0,14.0,0.222,20.0,8.8,5.4,1.8,0.3
CON,Raegan Beers,2026-07-09T13:59:53.712876+00:00,17,10.888235294117647,8.966666666666667,7.2,3.823529411764706,4.0,2.8,3.0,1.0,0.8,1.8235294117647058,0.3333333333333333,0.2,0.8235294117647058,0.3333333333333333,0.4,0.058823529411764705,0.0,0.0,0.8823529411764706,1.0,0.8,2.6470588235294117,2.3333333333333335,1.6,1.2352941176470589,2.0,1.2,0.04972467281835134,17.0,4.0,13.0,0.235,10.9,3.8,3.0,0.8,0.2
CON,Rayah Marshall,2026-07-09T13:59:53.718492+00:00,15,6.02,7.1000000000000005,5.3,1.6666666666666667,2.0,1.4,1.7333333333333334,2.0,1.4,1.2666666666666666,1.3333333333333333,1.0,0.26666666666666666,0.3333333333333333,0.2,0.0,0.0,0.0,0.4666666666666667,0.6666666666666666,0.4,1.7333333333333334,2.3333333333333335,1.6,0.8,1.0,1.0,0.024040804812291316,15.0,1.0,14.0,0.067,6.0,1.7,1.7,0.3,0.5
CON,Robyn Parks,2026-07-09T13:59:53.724415+00:00,6,10.466666666666667,8.7,10.279999999999998,0.3333333333333333,0.0,0.4,1.5,1.0,1.8,1.3333333333333333,1.0,1.6,0.3333333333333333,0.6666666666666666,0.4,0.0,0.0,0.0,0.16666666666666666,0.0,0.2,0.8333333333333334,0.6666666666666666,0.8,0.0,0.0,0.0,0.005376344086021505,6.0,1.0,5.0,0.167,10.5,0.3,1.5,0.3,-1.3
CON,Saniya Rivers,2026-07-09T13:59:53.730047+00:00,63,24.960317460317462,12.566666666666668,14.34,8.142857142857142,3.6666666666666665,3.6,2.6666666666666665,1.6666666666666667,2.2,2.0793650793650795,1.6666666666666667,2.0,2.8412698412698414,1.6666666666666667,1.8,0.8095238095238095,0.0,0.2,1.5396825396825398,1.6666666666666667,1.6,8.031746031746032,4.0,3.6,1.5396825396825398,1.3333333333333333,1.6,0.10611465939849564,21.0,4.0,17.0,0.19,22.6,6.8,2.4,3.1,-5.6
CON,Tina Charles,2026-07-09T13:59:53.736344+00:00,43,28.43720930232558,27.3,28.26,16.27906976744186,14.333333333333334,16.8,5.767441860465116,4.333333333333333,4.6,4.325581395348837,3.6666666666666665,3.8,1.7209302325581395,2.0,1.4,0.27906976744186046,0.0,0.0,1.9069767441860466,1.6666666666666667,1.8,13.790697674418604,13.0,14.4,4.558139534883721,4.0,3.4,0.21353766178825773,43.0,11.0,32.0,0.256,28.4,16.3,5.8,1.7,-9.4
DAL,Ajae Petty,2026-07-09T13:59:53.742287+00:00,2,3.15,3.15,3.15,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5,3.2,0.0,0.5,0.0,-1.5
DAL,Alanna Smith,2026-07-09T13:59:53.747994+00:00,18,15.011111111111113,14.533333333333333,12.98,4.111111111111111,7.0,5.8,3.111111111111111,4.0,3.0,2.111111111111111,2.3333333333333335,2.0,1.1666666666666667,0.6666666666666666,0.4,0.3888888888888889,1.0,1.0,1.1666666666666667,0.3333333333333333,0.4,4.111111111111111,5.333333333333333,4.2,0.7222222222222222,2.0,1.2,0.046506046061029156,18.0,12.0,6.0,0.667,15.0,4.1,3.1,1.2,-1.4
DAL,Alysha Clark,2026-07-09T13:59:53.753735+00:00,14,8.785714285714286,5.933333333333333,7.739999999999999,1.7142857142857142,1.0,0.8,1.1428571428571428,1.0,0.8,0.8571428571428571,1.0,0.6,0.35714285714285715,0.0,0.6,0.35714285714285715,0.3333333333333333,0.2,0.5,0.6666666666666666,0.6,1.6428571428571428,1.6666666666666667,1.4,0.7142857142857143,0.0,0.4,0.01952051259804251,14.0,8.0,6.0,0.571,8.8,1.7,1.1,0.4,-0.8
DAL,Amy Okonkwo,2026-07-09T13:59:53.759562+00:00,8,19.6125,18.3,21.360000000000003,11.0,10.333333333333334,10.8,3.125,3.3333333333333335,4.0,2.25,2.0,2.8,0.75,0.0,0.4,1.25,1.6666666666666667,1.2,0.875,0.6666666666666666,1.0,7.625,7.666666666666667,7.6,2.5,2.0,3.2,0.1358697889950278,8.0,1.0,7.0,0.125,19.6,11.0,3.1,0.8,-3.3
DAL,Arike Ogunbowale,2026-07-09T13:59:53.765337+00:00,51,31.400000000000002,28.400000000000002,27.859999999999996,14.372549019607844,9.0,7.2,2.7058823529411766,3.0,2.8,2.1372549019607843,1.6666666666666667,1.8,3.5098039215686274,1.3333333333333333,1.2,1.7450980392156863,1.3333333333333333,1.0,1.7647058823529411,0.6666666666666666,1.0,13.058823529411764,10.333333333333334,10.0,3.7450980392156863,1.0,1.4,0.1708304094816225,22.0,14.0,8.0,0.636,28.9,12.9,3.0,2.7,1.9
