event_id,sport_key,commence_time,home_team,away_team,bookmaker_key,bookmaker,last_update,market,name,price,point
adc6dd060846838773f87fb71bbbad5d,basketball_wnba,2026-08-14T00:00:00Z,New York Liberty,Los Angeles Sparks,draftkings,DraftKings,2026-08-12T12:05:27Z,totals,Under,1.91,186.5
adc6dd060846838773f87fb71bbbad5d,basketball_wnba,2026-08-14T00:00:00Z,New York Liberty,Los Angeles Sparks,fanduel,FanDuel,2026-08-12T12:06:07Z,totals,Over,1.91,187.5
adc6dd060846838773f87fb71bbbad5d,basketball_wnba,2026-08-14T00:00:00Z,New York Liberty,Los Angeles Sparks,fanduel,FanDuel,2026-08-12T12:06:07Z,totals,Under,1.91,187.5
adc6dd060846838773f87fb71bbbad5d,basketball_wnba,2026-08-14T00:00:00Z,New York Liberty,Los Angeles Sparks,betrivers,BetRivers,2026-08-12T12:05:28Z,totals,Over,1.88,187.5
adc6dd060846838773f87fb71bbbad5d,basketball_wnba,2026-08-14T00:00:00Z,New York Liberty,Los Angeles Sparks,betrivers,BetRivers,2026-08-12T12:05:28Z,totals,Under,1.91,187.5
adc6dd060846838773f87fb71bbbad5d,basketball_wnba,2026-08-14T00:00:00Z,New York Liberty,Los Angeles Sparks,lowvig,LowVig.ag,2026-08-12T12:05:48Z,totals,Over,1.93,187.0
adc6dd060846838773f87fb71bbbad5d,basketball_wnba,2026-08-14T00:00:00Z,New York Liberty,Los Angeles Sparks,lowvig,LowVig.ag,2026-08-12T12:05:48Z,totals,Under,1.93,187.0
adc6dd060846838773f87fb71bbbad5d,basketball_wnba,2026-08-14T00:00:00Z,New York Liberty,Los Angeles Sparks,betonlineag,BetOnline.ag,2026-08-12T12:05:26Z,totals,Over,1.91,187.0
adc6dd060846838773f87fb71bbbad5d,basketball_wnba,2026-08-14T00:00:00Z,New York Liberty,Los Angeles Sparks,betonlineag,BetOnline.ag,2026-08-12T12:05:26Z,totals,Under,1.91,187.0
b7f37fe3659219219e03ac3a2ceaea8d,basketball_wnba,2026-08-14T02:00:00Z,Las Vegas Aces,Washington Mystics,fanduel,FanDuel,2026-08-12T12:06:07Z,totals,Over,1.88,169.5
b7f37fe3659219219e03ac3a2ceaea8d,basketball_wnba,2026-08-14T02:00:00Z,Las Vegas Aces,Washington Mystics,fanduel,FanDuel,2026-08-12T12:06:07Z,totals,Under,1.94,169.5
b7f37fe3659219219e03ac3a2ceaea8d,basketball_wnba,2026-08-14T02:00:00Z,Las Vegas Aces,Washington Mystics,draftkings,DraftKings,2026-08-12T12:05:27Z,totals,Over,1.95,170.5
b7f37fe3659219219e03ac3a2ceaea8d,basketball_wnba,2026-08-14T02:00:00Z,Las Vegas Aces,Washington Mystics,draftkings,DraftKings,2026-08-12T12:05:27Z,totals,Under,1.87,170.5
b7f37fe3659219219e03ac3a2ceaea8d,basketball_wnba,2026-08-14T02:00:00Z,Las Vegas Aces,Washington Mystics,betrivers,BetRivers,2026-08-12T12:05:28Z,totals,Over,1.92,170.5
b7f37fe3659219219e03ac3a2ceaea8d,basketball_wnba,2026-08-14T02:00:00Z,Las Vegas Aces,Washington Mystics,betrivers,BetRivers,2026-08-12T12:05:28Z,totals,Under,1.88,170.5
b7f37fe3659219219e03ac3a2ceaea8d,basketball_wnba,2026-08-14T02:00:00Z,Las Vegas Aces,Washington Mystics,lowvig,LowVig.ag,2026-08-12T12:05:48Z,totals,Over,1.93,170.0
b7f37fe3659219219e03ac3a2ceaea8d,basketball_wnba,2026-08-14T02:00:00Z,Las Vegas Aces,Washington Mystics,lowvig,LowVig.ag,2026-08-12T12:05:48Z,totals,Under,1.93,170.0
b7f37fe3659219219e03ac3a2ceaea8d,basketball_wnba,2026-08-14T02:00:00Z,Las Vegas Aces,Washington Mystics,betonlineag,BetOnline.ag,2026-08-12T12:05:26Z,totals,Over,1.91,170.0
b7f37fe3659219219e03ac3a2ceaea8d,basketball_wnba,2026-08-14T02:00:00Z,Las Vegas Aces,Washington Mystics,betonlineag,BetOnline.ag,2026-08-12T12:05:26Z,totals,Under,1.91,170.0
