GAME_ID,GAME_DATE,TEAM_1,TEAM_2,PTS_1,PTS_2,TOTAL_POINTS,MATCHUP_1,MATCHUP_2,TEAM_ROWS
1022500140,2025-07-15,WAS,LAS,80,99,179,WAS @ LAS,LAS vs. WAS,2
1022500141,2025-07-16,ATL,CHI,86,49,135,ATL @ CHI,CHI vs. ATL,2
1022500142,2025-07-16,MIN,PHX,79,66,145,MIN vs. PHX,PHX @ MIN,2
1022500143,2025-07-16,GSV,SEA,58,67,125,GSV @ SEA,SEA vs. GSV,2
1022500144,2025-07-16,IND,NYL,77,98,175,IND @ NYL,NYL vs. IND,2
1022500145,2025-07-16,DAL,LVA,86,90,176,DAL vs. LVA,LVA @ DAL,2
1022500146,2025-07-22,WAS,LAS,86,93,179,WAS vs. LAS,LAS @ WAS,2
1022500147,2025-07-22,IND,NYL,84,98,182,IND @ NYL,NYL vs. IND,2
1022500148,2025-07-22,CHI,MIN,68,91,159,CHI @ MIN,MIN vs. CHI,2
1022500149,2025-07-22,ATL,LVA,72,87,159,ATL @ LVA,LVA vs. ATL,2
1022500150,2025-07-22,SEA,DAL,63,87,150,SEA vs. DAL,DAL @ SEA,2
1022500151,2025-07-23,ATL,PHX,90,79,169,ATL @ PHX,PHX vs. ATL,2
1022500152,2025-07-24,CON,LAS,86,101,187,CON vs. LAS,LAS @ CON,2
1022500153,2025-07-24,IND,LVA,80,70,150,IND vs. LVA,LVA @ IND,2
1022500154,2025-07-24,CHI,SEA,57,95,152,CHI vs. SEA,SEA @ CHI,2
1022500155,2025-07-25,PHX,NYL,76,89,165,PHX @ NYL,NYL vs. PHX,2
1022500156,2025-07-25,MIN,LVA,109,78,187,MIN vs. LVA,LVA @ MIN,2
1022500157,2025-07-25,GSV,DAL,86,76,162,GSV vs. DAL,DAL @ GSV,2
1022500158,2025-07-27,CHI,IND,78,93,171,CHI vs. IND,IND @ CHI,2
1022500159,2025-07-26,LAS,NYL,101,99,200,LAS @ NYL,NYL vs. LAS,2
1022500160,2025-07-26,SEA,WAS,58,69,127,SEA @ WAS,WAS vs. SEA,2
1022500161,2025-07-27,GSV,CON,64,95,159,GSV @ CON,CON vs. GSV,2
1022500162,2025-07-27,DAL,LVA,80,106,186,DAL vs. LVA,LVA @ DAL,2
1022500163,2025-07-27,WAS,PHX,72,88,160,WAS vs. PHX,PHX @ WAS,2
1022500164,2025-07-27,ATL,MIN,90,86,176,ATL @ MIN,MIN vs. ATL,2
1022500165,2025-07-28,SEA,CON,101,85,186,SEA @ CON,CON vs. SEA,2
1022500166,2025-07-28,DAL,NYL,92,82,174,DAL vs. NYL,NYL @ DAL,2
1022500167,2025-07-29,GSV,ATL,77,75,152,GSV @ ATL,ATL vs. GSV,2
1022500168,2025-07-29,CHI,WAS,86,103,189,CHI @ WAS,WAS vs. CHI,2
1022500169,2025-07-29,LAS,LVA,74,89,163,LAS vs. LVA,LVA @ LAS,2
1022500170,2025-07-30,IND,PHX,107,101,208,IND vs. PHX,PHX @ IND,2
1022500171,2025-07-30,ATL,DAL,88,85,173,ATL @ DAL,DAL vs. ATL,2
1022500172,2025-07-30,MIN,NYL,100,93,193,MIN vs. NYL,NYL @ MIN,2
1022500173,2025-07-31,GSV,WAS,68,67,135,GSV @ WAS,WAS vs. GSV,2
1022500174,2025-08-01,ATL,PHX,95,72,167,ATL vs. PHX,PHX @ ATL,2
1022500175,2025-08-01,CON,NYL,78,62,140,CON vs. NYL,NYL @ CON,2
1022500176,2025-08-01,GSV,CHI,73,66,139,GSV @ CHI,CHI vs. GSV,2
1022500177,2025-08-01,IND,DAL,88,78,166,IND @ DAL,DAL vs. IND,2
1022500178,2025-08-01,SEA,LAS,106,108,214,SEA vs. LAS,LAS @ SEA,2
1022500179,2025-08-02,MIN,LVA,111,58,169,MIN @ LVA,LVA vs. MIN,2
1022500180,2025-08-03,ATL,WAS,99,83,182,ATL vs. WAS,WAS @ ATL,2
1022500181,2025-08-03,CON,NYL,78,87,165,CON vs. NYL,NYL @ CON,2
1022500182,2025-08-03,CHI,PHX,67,83,150,CHI vs. PHX,PHX @ CHI,2
1022500183,2025-08-03,GSV,LVA,77,101,178,GSV @ LVA,LVA vs. GSV,2
1022500184,2025-08-03,SEA,IND,74,78,152,SEA vs. IND,IND @ SEA,2
1022500185,2025-08-05,DAL,NYL,76,85,161,DAL @ NYL,NYL vs. DAL,2
1022500186,2025-08-05,CHI,WAS,78,64,142,CHI vs. WAS,WAS @ CHI,2
1022500187,2025-08-05,IND,LAS,91,100,191,IND @ LAS,LAS vs. IND,2
1022500188,2025-08-05,CON,PHX,66,82,148,CON @ PHX,PHX vs. CON,2
1022500189,2025-08-05,SEA,MIN,87,91,178,SEA vs. MIN,MIN @ SEA,2
1022500190,2025-08-06,GSV,LVA,72,78,150,GSV vs. LVA,LVA @ GSV,2
1022500191,2025-08-07,ATL,CHI,86,65,151,ATL @ CHI,CHI vs. ATL,2
1022500192,2025-08-07,CON,LAS,91,102,193,CON @ LAS,LAS vs. CON,2
1022500193,2025-08-07,IND,PHX,60,95,155,IND @ PHX,PHX vs. IND,2
1022500194,2025-08-08,DAL,NYL,77,88,165,DAL vs. NYL,NYL @ DAL,2
1022500195,2025-08-08,MIN,WAS,80,76,156,MIN vs. WAS,WAS @ MIN,2
1022500196,2025-08-08,SEA,LVA,86,90,176,SEA @ LVA,LVA vs. SEA,2
1022500197,2025-08-09,GSV,LAS,72,59,131,GSV vs. LAS,LAS @ GSV,2
1022500198,2025-08-09,CHI,IND,70,92,162,CHI @ IND,IND vs. CHI,2
1022500199,2025-08-10,MIN,NYL,83,71,154,MIN @ NYL,NYL vs. MIN,2
1022500200,2025-08-10,WAS,DAL,91,78,169,WAS @ DAL,DAL vs. WAS,2
1022500201,2025-08-10,SEA,LAS,91,94,185,SEA @ LAS,LAS vs. SEA,2
1022500202,2025-08-10,ATL,PHX,74,66,140,ATL @ PHX,PHX vs. ATL,2
1022500203,2025-08-10,CON,LVA,86,94,180,CON @ LVA,LVA vs. CON,2
1022500204,2025-08-11,GSV,CON,74,57,131,GSV vs. CON,CON @ GSV,2
1022500205,2025-08-12,IND,DAL,80,81,161,IND vs. DAL,DAL @ IND,2
1022500206,2025-08-12,LAS,NYL,97,105,202,LAS vs. NYL,NYL @ LAS,2
1022500207,2025-08-13,CHI,CON,62,71,133,CHI @ CON,CON vs. CHI,2
1022500208,2025-08-13,GSV,WAS,88,83,171,GSV @ WAS,WAS vs. GSV,2
1022500209,2025-08-13,LVA,NYL,83,77,160,LVA vs. NYL,NYL @ LVA,2
1022500210,2025-08-13,ATL,SEA,85,75,160,ATL @ SEA,SEA vs. ATL,2
1022500211,2025-08-15,IND,WAS,84,88,172,IND vs. WAS,WAS @ IND,2
1022500212,2025-08-15,GSV,CHI,90,59,149,GSV @ CHI,CHI vs. GSV,2
1022500213,2025-08-15,DAL,LAS,96,97,193,DAL vs. LAS,LAS @ DAL,2
1022500214,2025-08-15,ATL,SEA,78,80,158,ATL vs. SEA,SEA @ ATL,2
1022500215,2025-08-15,LVA,PHX,86,83,169,LVA @ PHX,PHX vs. LVA,2
1022500216,2025-08-16,MIN,NYL,86,80,166,MIN vs. NYL,NYL @ MIN,2
1022500217,2025-08-17,WAS,LAS,95,86,181,WAS vs. LAS,LAS @ WAS,2
1022500218,2025-08-17,IND,CON,99,93,192,IND @ CON,CON vs. IND,2
1022500219,2025-08-17,DAL,LVA,87,106,193,DAL @ LVA,LVA vs. DAL,2
1022500220,2025-08-17,SEA,PHX,82,85,167,SEA vs. PHX,PHX @ SEA,2
1022500221,2025-08-17,GSV,ATL,63,79,142,GSV vs. ATL,ATL @ GSV,2
1022500222,2025-08-19,MIN,NYL,75,85,160,MIN @ NYL,NYL vs. MIN,2
1022500223,2025-08-19,CON,WAS,80,69,149,CON @ WAS,WAS vs. CON,2
1022500224,2025-08-19,CHI,SEA,88,94,182,CHI vs. SEA,SEA @ CHI,2
1022500225,2025-08-19,ATL,LVA,72,74,146,ATL @ LVA,LVA vs. ATL,2
1022500226,2025-08-19,GSV,PHX,91,98,189,GSV vs. PHX,PHX @ GSV,2
1022500227,2025-08-20,DAL,LAS,80,81,161,DAL @ LAS,LAS vs. DAL,2
1022500228,2025-08-21,CON,WAS,67,56,123,CON vs. WAS,WAS @ CON,2
1022500229,2025-08-21,CHI,NYL,91,85,176,CHI @ NYL,NYL vs. CHI,2
1022500230,2025-08-21,ATL,MIN,75,73,148,ATL vs. MIN,MIN @ ATL,2
1022500231,2025-08-21,LVA,PHX,83,61,144,LVA vs. PHX,PHX @ LVA,2
1022500232,2025-08-22,IND,MIN,90,95,185,IND vs. MIN,MIN @ IND,2
1022500233,2025-08-22,SEA,DAL,95,60,155,SEA @ DAL,DAL vs. SEA,2
1022500234,2025-08-22,GSV,PHX,72,81,153,GSV @ PHX,PHX vs. GSV,2
1022500235,2025-08-23,ATL,NYL,78,62,140,ATL vs. NYL,NYL @ ATL,2
1022500236,2025-08-23,WAS,LVA,81,91,172,WAS vs. LVA,LVA @ WAS,2
1022500237,2025-08-23,CHI,CON,84,94,178,CHI vs. CON,CON @ CHI,2
1022500238,2025-08-24,SEA,WAS,84,82,166,SEA @ WAS,WAS vs. SEA,2
1022500239,2025-08-24,GSV,DAL,90,81,171,GSV @ DAL,DAL vs. GSV,2
1022500240,2025-08-24,IND,MIN,84,97,181,IND @ MIN,MIN vs. IND,2
1022500241,2025-08-25,CON,NYL,79,81,160,CON @ NYL,NYL vs. CON,2
1022500242,2025-08-25,CHI,LVA,74,79,153,CHI vs. LVA,LVA @ CHI,2
1022500243,2025-08-26,SEA,IND,75,95,170,SEA @ IND,IND vs. SEA,2
1022500244,2025-08-26,LAS,PHX,84,92,176,LAS vs. PHX,PHX @ LAS,2
1022500245,2025-08-27,ATL,LVA,75,81,156,ATL vs. LVA,LVA @ ATL,2
1022500246,2025-08-27,CON,DAL,101,95,196,CON @ DAL,DAL vs. CON,2
1022500247,2025-08-28,WAS,NYL,63,89,152,WAS @ NYL,NYL vs. WAS,2
1022500248,2025-08-28,SEA,MIN,93,79,172,SEA @ MIN,MIN vs. SEA,2
1022500249,2025-08-28,CHI,PHX,79,83,162,CHI @ PHX,PHX vs. CHI,2
1022500250,2025-08-29,ATL,DAL,100,78,178,ATL vs. DAL,DAL @ ATL,2
1022500251,2025-08-29,IND,LAS,76,75,151,IND @ LAS,LAS vs. IND,2
1022500252,2025-08-30,MIN,CON,94,70,164,MIN @ CON,CON vs. MIN,2
1022500253,2025-08-30,GSV,WAS,99,62,161,GSV vs. WAS,WAS @ GSV,2
1022500254,2025-08-30,CHI,SEA,69,79,148,CHI @ SEA,SEA vs. CHI,2
1022500255,2025-08-30,PHX,NYL,80,63,143,PHX vs. NYL,NYL @ PHX,2
1022500256,2025-08-31,WAS,LAS,78,81,159,WAS @ LAS,LAS vs. WAS,2
1022500257,2025-08-31,GSV,IND,75,63,138,GSV vs. IND,IND @ GSV,2
